# MCP 서버에서 제공하는 한국 날씨 정보 지원 도시 목록
# 총 158개 도시 지원
# 형식: 한국어명 (영어명) - 위도, 경도

# 수도권
영덕 (Yeongdeok) - 36.4167, 129.3667
청도 (Cheongdo) - 35.65, 128.7333
고령 (Goryeong) - 35.7167, 128.2667
성주 (Seongju) - 35.9167, 128.2833
칠곡 (Chilgok) - 35.9833, 128.4
예천 (Yecheon) - 36.65, 128.45
봉화 (Bonghwa) - 36.8833, 128.7333
울진 (Uljin) - 36.9833, 129.4
울릉 (Ulleung) - 37.4833, 130.9

# 경상남도
창원 (Changwon) - 35.2278, 128.6817
진주 (Jinju) - 35.1833, 128.0833
통영 (Tongyeong) - 34.85, 128.4333
사천 (Sacheon) - 35.0, 128.0667
김해 (Gimhae) - 35.2333, 128.8833
밀양 (Miryang) - 35.5, 128.75
거제 (Geoje) - 34.8833, 128.6167
양산 (Yangsan) - 35.3333, 129.0333
의령 (Uiryeong) - 35.3167, 128.2667
함안 (Haman) - 35.2667, 128.4
창녕 (Changnyeong) - 35.5167, 128.5
고성 (Goseong) - 34.9667, 128.3167
남해 (Namhae) - 34.8333, 127.8833
하동 (Hadong) - 35.0667, 127.75
산청 (Sancheong) - 35.4167, 127.8833
함양 (Hamyang) - 35.5167, 127.7167
거창 (Geochang) - 35.6833, 127.9
합천 (Hapcheon) - 35.5667, 128.1667

# 업데이트 정보
# 생성일: 2024년
# 출처: MCP 서버 (http://1.237.52.240:11045)
# 총 도시 수: 158개
# 지원 기능: 현재 날씨, 5일 예보, 좌표 기반 날씨 
